School,Gender,Age,Address,Family_Size,Parental_Status,Mother_Education,Father_Education,Travel_Time,Study_Time,Number_of_Failures,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Attended_Nursery,Wants_Higher_Education,Internet_Access,In_Relationship,Family_Relationship,Free_Time,Going_Out,Weekend_Alcohol_Consumption,Weekday_Alcohol_Consumption,Health_Status,Number_of_Absences,Grade_1,Grade_2,Final_Grade,Dropped_Out,Mother_Job_health,Mother_Job_other,Mother_Job_services,Mother_Job_teacher,Father_Job_health,Father_Job_other,Father_Job_services,Father_Job_teacher,Reason_for_Choosing_School_home,Reason_for_Choosing_School_other,Reason_for_Choosing_School_reputation,Guardian_mother,Guardian_other
0,0,18,0,0,1,2,2,2,4,0,0,0,0,1,1,1,0,0,4,4,4,1,1,4,6,14,13,14,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,16,0,0,1,2,2,3,2,0,0,1,0,0,1,1,1,0,4,4,5,1,1,4,4,9,10,11,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,18,0,0,0,4,3,1,1,0,0,1,0,0,1,1,1,0,5,4,3,3,4,2,8,10,11,10,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,0,19,1,1,1,3,3,1,2,0,0,1,0,1,1,1,1,0,4,3,5,3,3,5,16,11,12,12,0,0,1,0,0,0,0,1,0,1,0,0,0,1
0,1,16,1,0,1,2,3,2,3,0,0,1,0,0,0,1,1,1,3,2,3,2,2,1,5,13,12,13,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,18,1,0,1,2,1,2,3,0,0,1,0,0,0,1,1,1,4,4,4,1,1,3,11,12,10,11,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,1,20,0,0,1,1,1,2,1,1,0,1,0,0,1,0,1,1,4,4,3,2,4,4,12,7,12,10,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,0,15,1,0,1,3,2,2,2,0,1,1,0,0,1,1,1,0,4,3,5,1,1,2,16,10,11,9,0,0,0,1,0,0,1,0,0,1,0,0,0,1
0,0,18,1,1,0,4,4,1,2,0,0,1,1,0,1,1,1,1,4,2,4,1,1,5,0,14,16,16,0,1,0,0,0,0,1,0,0,1,0,0,1,0
0,1,16,0,0,1,0,2,1,1,0,0,0,0,0,0,1,1,0,4,3,2,2,4,5,0,11,11,11,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0,1,16,0,0,1,4,2,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,8,10,9,11,0,0,0,0,1,0,0,1,0,0,1,0,1,0
0,1,22,1,0,1,3,1,1,1,3,1,0,1,0,0,0,1,1,5,4,5,5,5,1,11,7,8,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,15,1,1,1,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,1,9,10,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,20,1,0,1,1,0,2,1,1,1,0,0,0,1,1,1,1,5,3,1,1,1,5,5,8,10,10,0,0,1,0,0,0,1,0,0,0,0,1,1,0
0,1,16,0,0,0,4,4,2,3,0,0,0,0,1,1,1,1,1,2,4,3,1,1,5,4,13,13,13,0,0,1,0,0,0,0,0,1,0,0,1,1,0
0,1,21,0,1,1,1,1,2,2,2,0,1,0,1,1,0,1,1,5,3,3,5,2,4,21,9,10,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,17,0,0,1,3,4,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,2,11,9,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,17,1,0,1,2,2,1,2,0,0,0,1,1,0,1,1,1,4,4,2,5,5,4,0,16,16,15,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0,17,1,0,1,4,4,1,2,0,0,1,0,0,1,1,1,0,5,2,5,1,1,5,0,12,14,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,16,1,1,1,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,2,3,5,1,13,13,15,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,15,1,1,1,1,2,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,0,14,12,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,17,1,0,1,2,2,1,2,0,0,1,0,1,1,1,1,0,4,3,4,1,3,4,0,13,17,17,0,0,0,1,0,0,0,1,0,0,0,1,1,0
0,0,17,1,0,1,3,1,1,3,0,0,1,0,0,0,1,1,0,3,4,3,2,3,5,0,17,18,17,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,18,0,1,1,4,4,1,2,0,0,1,0,1,1,1,1,0,5,4,3,3,4,2,2,13,14,14,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,1,17,0,1,1,1,2,1,1,0,0,1,0,1,1,1,1,0,5,5,5,5,5,3,4,10,11,10,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,0,18,0,1,1,4,4,2,3,0,0,0,0,0,1,1,1,0,5,4,4,1,1,1,0,15,18,17,0,0,1,0,0,0,1,0,0,0,0,1,1,0
0,1,18,1,1,1,2,2,1,4,0,0,1,0,1,1,1,1,0,4,5,5,2,4,5,0,11,11,12,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,19,1,0,1,3,2,1,3,0,0,0,0,0,0,1,1,1,5,4,3,2,3,1,5,14,16,17,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,1,16,1,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,2,4,2,4,1,0,13,13,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0
